"City","Restaurant","Wine Name","Region","State","Country","Wine Type","Body","Brand","Producer","Varietal","Taste Profile","Typical Vintage","Price","Sources","is_wine","wine_name","producer","vintage","varietal","body","region","country","price"
"Boston","La_Royal","WINE SPARKLING Vita Vivet Sparkling, Cava Brut nature, Catalonia, SP 14","Catalonia","","Spain","WINE SPARKLING","Medium","Vita Vivet Sparkling","Vita Vivet","Cava Brut nature","Crisp, Fruity, Dry","14","","Direct from Winery","yes","Vita Vivet Sparkling","Boston La_Royal","14","Cava Brut nature","Medium","Catalonia","Spain","Direct from Winery"
"Boston","La_Royal","‘22 Passionate Wines, Del Mono Blanco Sauvignon Blanc, AR 13","Mendoza","","AR","Sauvignon Blanc","Medium","22 Passionate Wines","22 Passionate Wines","Sauvignon Blanc","Crisp, Fresh, Fruity","22","","Winery Direct","yes","Del Mono Blanco Sauvignon Blanc","22 Passionate Wines","2022","Sauvignon Blanc","Medium","Mendoza","AR","Winery Direct"
"Boston","Blue_Nile","—  Sauvignon Blanc  — Monte Xanic 2021, Baja California, Mexico $ 13","Baja California","","Mexico","Sauvignon Blanc","Light","Monte Xanic","Monte Xanic","Sauvignon Blanc","Crisp, Fresh, Fruity","2021","$ 13","Restaurant Wine List","yes","Boston Blue_Nile","Monte Xanic","2021","Sauvignon Blanc","Light","Baja California","Mexico","$13"
"Boston","Blue_Nile","—  Pinot Grigio  — Scarpetta Friuli-Venezia Giulia, Italy $ 14","Friuli-Venezia Giulia","","Italy","Pinot Grigio","Light","Scarpetta","Scarpetta","Pinot Grigio","Crisp and fruity","2018","$ 14","Blue Nile Restaurant","yes","Boston Blue_Nile","Scarpetta","2018","Pinot Grigio","Light","Friuli-Venezia Giulia","Italy","$14"
"Boston","Blue_Nile","—  Chardonnay  — Jordan 2020, California $ 19","Sonoma County","California","USA","Chardonnay","Medium","Jordan","Jordan Vineyard & Winery","Chardonnay","Crisp and Balanced","2020","$ 19","Jordan Vineyard & Winery",,,,,,,,,
"Boston","Blue_Nile","—  Cabernet Sauvignon  — Bonanza by Caymus, California $ 16","Napa Valley","California","USA","Cabernet Sauvignon","Full-bodied","Bonanza by Caymus","Caymus Vineyards","Cabernet Sauvignon","Rich, dark fruit flavors with a hint of spice","2018","$ 16","","yes","Boston Blue_Nile","Caymus Vineyards","2018","Cabernet Sauvignon","Full-bodied","Napa Valley","USA","$16"
"Boston","Blue_Nile","—  Pinot Noir  — Tripper 2020, Elkton, Oregon $ 12","Elkton","Oregon","USA","Pinot Noir","","Tripper","","Pinot Noir","","2020","$ 12","","yes","Boston Blue_Nile","Tripper","2020","Pinot Noir","Not mentioned","Elkton","USA","$12"
"Boston","Toro","Familia Torres Tempranillo Crianza Rioja 2019","Rioja","","Spain","Red","Medium","Familia Torres","Familia Torres","Tempranillo","Fruity","2019","","","yes","Boston Toro Familia Torres Tempranillo Crianza Rioja","Familia Torres","2019","Tempranillo","Medium","Rioja","Spain",
"Boston","Toro","Partida Creus ""VN"" Sparkling Red Pet Nat Catalunya 2021","Catalunya","","Spain","Sparkling Red","Medium","Partida Creus","Partida Creus","Pet Nat","Fruity, Earthy, and Spicy","2021","","Winery Direct","yes","Boston Toro Partida Creus ""VN"" Sparkling Red Pet Nat","Partida Creus","2021","Sparkling Red","Medium","Catalunya","Spain","Winery Direct"
"Boston","Toro","Gramona ""Gessami"" Sauvignon Blanc Penedès 2022","Penedès","","Spain","White","Light","Gramona","Gramona","Sauvignon Blanc","Crisp, Fruity, and Floral","2022","","Winery Direct","yes","Boston Toro Gramona ""Gessami""","Gramona","2022","Sauvignon Blanc","Light","Penedès","Spain","Winery Direct"
